alpha,beta,z ratio,smooth ratio
228165.44373272455,54576.41535570548,-1.3704020916491007,0.16804931226084957
227163.7770274883,55485.79935215285,-1.38785249180715,0.16654806873958586
227163.7770274883,55485.79935215285,-1.38785249180715,0.1651969495704485
225941.67265039316,56653.84363481685,-1.4092151140044602,0.16344687676329217
225232.42460844546,57670.24560188924,-1.4258621876476891,0.16145563439577074
224244.42587590052,59447.473225196474,-1.4527475076075576,0.15899138326600473
223905.3193482084,61709.398951408155,-1.4817257326199447,0.15604910162390564
223905.3193482084,61709.398951408155,-1.4817257326199447,0.15340104814601646
223364.42659876298,64365.28830892471,-1.513598407938976,0.15022098313294044
223598.8595558609,66496.97586598403,-1.5353118247439306,0.14681608920104813
224427.41632207506,70056.57416860244,-1.567366792608264,0.14295031046573672
224427.41632207506,70056.57416860244,-1.567366792608264,0.13947110960395645
225341.8143951922,74322.42992579754,-1.6019500720644202,0.1354752468419503
227834.27367867014,79139.68497345415,-1.632802913093728,0.13110764933041208
229804.90882364093,82814.52100228457,-1.6537568945220225,0.1266529620343203
229804.90882364093,82814.52100228457,-1.6537568945220225,0.12264374346783771
233188.98854875343,88796.71446289042,-1.6837579935913354,0.11828541928127057
238304.2583763195,95625.69551665512,-1.7107780593113842,0.1136874258703589
244589.06995718117,103152.66357196534,-1.73515129908984,0.10893990080607702
248960.23315200707,108658.54648704283,-1.7512610186714859,0.10426438525868217
248960.23315200707,108658.54648704283,-1.7512610186714859,0.1000564212660268
257992.51785196364,117477.04116966452,-1.7704317618679308,0.09578998509272585
268001.3446810512,127146.0553011211,-1.7882280247744209,0.09150528596409274
268001.3446810512,127146.0553011211,-1.7882280247744209,0.08764905674832295
279313.8342144159,137592.91519255034,-1.803914588172431,0.08378628636917988
288515.59072563687,144968.70701230018,-1.8119390409956082,0.08010918170737169
303138.3153711285,156663.93904667496,-1.823072486109429,0.0765214513838988
319103.4441376195,169066.11253894705,-1.8326494553777433,0.07305306986106534
319103.4441376195,169066.11253894705,-1.8326494553777433,0.06993152649051523
337946.9479944243,182215.1551933441,-1.8392587697673055,0.06695690459728107
350925.7019991864,191272.59769908412,-1.84328416004541,0.06417911013641771
371553.047809948,205408.03109200098,-1.848491830665146,0.06154890335614729
395465.7702433138,219964.84673292402,-1.8507080337569604,0.059126312176608554
395465.7702433138,219964.84673292402,-1.8507080337569604,0.05694598011502369
436549.16808674455,245235.74697731348,-1.8542836201147561,0.05489429160065242
436549.16808674455,245235.74697731348,-1.8542836201147561,0.05304777193771828
464487.0919290331,260883.1722120017,-1.8542190092288946,0.05138751951322409
464487.0919290331,260883.1722120017,-1.8542190092288946,0.04989329233117932
492624.1908390156,276610.91748381825,-1.8541207947645204,0.04855094322894838
523072.5081861413,292650.70224414277,-1.8528240891644778,0.047375246676941596
545336.4582344192,303238.31616693165,-1.8506038471302062,0.04637262583099228
578183.61341478,319283.5846422267,-1.8480837634642981,0.045533269161285604
578183.61341478,319283.5846422267,-1.8480837634642981,0.04477784815854959
614698.8143171764,335031.3318382154,-1.8432717865271275,0.04421826867951645
654701.2634250257,350724.62289975403,-1.8368295342455627,0.043875703455425734
681625.8678663215,360879.2881819389,-1.83237850575331,0.04367867046605041
727956.7276442911,376058.85598697665,-1.8229126366625181,0.04373798750288242
727956.7276442911,376058.85598697665,-1.8229126366625181,0.04379137283603123
779197.9991937458,390646.2634657973,-1.8110428327509742,0.044136164733653754
834928.958948713,404773.9614073119,-1.7973226505851607,0.04478948199565936
877974.7720691252,413863.8430061468,-1.7854892707407903,0.045673302027573665
877974.7720691252,413863.8430061468,-1.7854892707407903,0.04646874005629654
949026.7481092227,427051.5179449666,-1.765157258720818,0.04769293458264644
1026821.6244750752,439518.0080958073,-1.7421845522053931,0.049369027319246965
1119874.2087687182,451194.56988247007,-1.7128002230438353,0.05161211901122639
1186572.8830988817,458657.7682677541,-1.691628223143689,0.05416020153151153
1186572.8830988817,458657.7682677541,-1.691628223143689,0.05645347579976815
1296726.3907777423,469174.2046547612,-1.6559916257879608,0.05940833757509232
1424959.1821169981,479041.52232442895,-1.6135090609449196,0.0631297772939601
1565467.4903193065,487893.9751486715,-1.5663376777855156,0.06765835761992621
1565467.4903193065,487893.9751486715,-1.5663376777855156,0.0717340799132957
1723732.267063742,496364.8659272493,-1.5131045790604913,0.07673305744545385
1841109.2210134114,501319.25305884395,-1.4728271981807546,0.0822390717463896
2028411.9290786905,508670.046200482,-1.4093020488952976,0.0887826133493682
2028411.9290786905,508670.046200482,-1.4093020488952976,0.09467180079204894
2237082.1299418607,514970.7437381621,-1.337458085693657,0.10176816857050261
2468701.4488338456,521172.08945418725,-1.2582946592250948,0.11013398523282499
2631329.3960480285,524587.5895584809,-1.202021733469622,0.11907004337280194
2895435.073353804,529845.8168657126,-1.1115807204560706,0.12937352102411998
2895435.073353804,529845.8168657126,-1.1115807204560706,0.1386466509103062
3182294.2684614924,534149.8070155692,-1.0122044401622743,0.14947687481521874
3486985.009967391,538538.6017734901,-0.9079470957666308,0.1618305099395311
3704304.7708116067,540987.3514722894,-0.8328814475128044,0.17482542275775786
3704304.7708116067,540987.3514722894,-0.8328814475128044,0.186520844294162
4049297.073932917,545163.8011931444,-0.7158957969633126,0.199971364940663
